State,Bill Number,Summary,NCDP Categories,Subcategory,Hazard Type
Minnesota,H 3420,"Appropriates money for drought relief, establishes cooperative grants for farmers, establishes farm down payment assistance grants, establishes a soil health financial assistance pilot program, makes policy and technical changes to agricultural provisions, modifies previous appropriations, establishes the broadband line extension program, establishes the lower population density pilot program.",Communications,Communications,"Disaster Mitigation, Drought"
New York,S 8204,"Amends the canal law, in relation to designating the director of the upstate flood mitigation task force and assessments of Erie Canal system operation procedures related to flood mitigation and management, amends the canal law relating to the upstate flood mitigation task force.",Communications,Communications,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,H 4087,"Relates to access to emergencies, provides that any official of a public body, as defined in ORS 174.109, must grant credentialed or documented representatives of news media organizations access to scenes of wildfires or natural disasters on public lands that are otherwise closed to the public, provides that the Office of Emergency Management shall convene a committee composed of equal numbers of news media and public safety agency stakeholders to develop specified voluntary guidelines for implementation.",Communications,Communications,Disaster Mitigation
Oregon,H 4156,"Relates to state financial administration, transfers Oregon Pre-Disaster Mitigation Fund to Oregon Department of Emergency Management.",Communications,Communications,Disaster Mitigation
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Communications,Communications,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Communications,Communications,Disaster Mitigation-Flooding
Washington,S 5158,Concerns the utility wildland fire prevention advisory committee.,Communications,Communications,Disaster Mitigation-Wildfire
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Communications,Communications,Disaster Mitigation
Alaska,H 227,"Relates to municipal energy and resilience improvement assessment programs, relates to the planning commission membership apportionment requirement for first and second class boroughs.",Energy,Energy,"Water-Conservation/Efficiency, Water, Disaster Mitigation"
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Energy,Energy,Disaster Mitigation-Wildfire
California,S 129,Relates to the Budget Act of 2021.,Energy,Energy,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Energy,Energy,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Energy,Energy,"Disaster Mitigation, Wildlife-Pollinators"
California,S 533,"Requires that an electrical corporation's wildfire mitigation plan identify circuits that have frequently been deenergized to mitigate the risk of wildfire and the measures taken, or planned to be taken, by the corporation to reduce the need for and impact of future deenergization of circuits. Includes the estimated annual decline in circuit deenergization and its impact on customers, and replacing, hardening, or undergrounding any portion of the circuit or of upstream transmission or distribution lines.",Energy,Energy,Disaster Mitigation-Wildfire
California,S 694,"Requires an electrical corporation to notify the Public Utilities Commission and the Office of Energy Infrastructure Safety by advice letter a detailed summary of specified workforce development efforts completed in compliance with the Office of Federal Contract Compliance Programs, including, but not limited to, a description of and data on the extent to which the electrical corporation advertises job openings to members of California Conservation Corps and members of community conservation corps.",Energy,Energy,Disaster Mitigation-Wildfire
Colorado,H 1013,"Creates the Microgrids for Community Resilience Grant Program to be administered by the Division of Local Government in the Department of Local Affairs, in collaboration with the Colorado Resiliency Office in the division, appropriates funds.",Energy,Energy,Disaster Mitigation
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Energy,Energy,Disaster Mitigation
Hawaii,S 3087,"Provides for mutual assistance between the states entering into this compact in managing any emergency or disaster that is duly declared by the governor of the affected state, whether arising from natural disaster, technological hazard, manmade disaster, civil emergency aspects of resources shortages, community disorders, insurgency, or enemy attack.",Energy,Energy,Disaster Mitigation
Massachusetts,S 9,Creates a next-generation roadmap for Massachusetts climate policy.,Energy,Energy,Disaster Mitigation
Maryland,S 528,"Requires the State to reduce statewide greenhouse gas emissions through the use of various measures, includes the alteration of statewide greenhouse gas emissions goals, relates to establishment of a net zero statewide greenhouse gas emissions goal, relates to the development of certain energy efficiency and emissions reduction requirements for certain buildings, requires electric companies to increase their annual incremental gross energy savings through certain programs and services.",Energy,Energy,Disaster Mitigation
Maine,H 1230,"Creates the Maine clean energy and sustainability accelerator, creates the Maine Clean Energy and Sustainability Accelerator to support the development of clean energy and sustainability projects and infrastructure through providing financing support, including loans, loan guarantees and other financial and risk mitigation products.",Energy,Energy,Disaster Mitigation
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,A 2374,"Concerns the implementation of renewable energy and energy efficiency systems and water conservation, flood and hurricane resistance projects, energy storage, and microgrids.",Energy,Energy,"Water-Conservation/Efficiency, Water-Resources/Planning, Water, Disaster Mitigation"
New Jersey,A 2374,"Concerns the implementation of renewable energy and energy efficiency systems and water conservation, flood and hurricane resistance projects, energy storage, and microgrids.",Energy,Energy,"Climate Change - Adaptation and Environment, Climate Change - Emissions Reduction, Electric Grid and Transmission, Energy Efficiency, Energy Security and Critical Infrastructure, Financing Energy Efficiency and Renewable Energy, Renewable Energy"
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Energy,Energy,Disaster Mitigation-Flooding
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Energy,Energy,Disaster Mitigation
New York,A 8763,"Provides that the Public Service Commission shall authorize each electric corporation to fully recover in the context of rate proceedings the costs associated with each project included in such corporations climate resilience plan that is approved or modified by the commission, so long as such costs were prudently incurred.",Energy,Energy,Disaster Mitigation
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Energy,Energy,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Energy,Energy,Disaster Mitigation-Flooding
Tennessee,S 795,"Enacts the Commercial Property Assessed Clean Energy and Resilience Act, provides that by authorizing local governments to adopt C-PACER programs, the general assembly finds that a valid public purpose exists because the use of C-PACER will increase economic development, lower insurance costs, and lower disaster and emergency response and aid costs to local governments, provides that C-PACER programs will also decrease energy and water costs and encourage energy and water sustainability.",Energy,Energy,Disaster Mitigation
Virginia,H 1309,Concerns resilient Virginia Revolving Loan Fund.,Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Flooding"
Virginia,H 1325,"Relates to general powers of local governments, relates to additional powers, relates to Commercial Property Assessed Clean Energy (C-PACE) financing programs.",Energy,Energy,Disaster Mitigation
Virginia,S 756,"Relates to Resilient Virginia Revolving Fund, provides definitions, relates to deposit of moneys, relates to expenditures, relates to investments, relates to annual audit, relates to collection of money due to Fund, relates to loans to local governments, relates to grants to local governments.",Energy,Energy,Disaster Mitigation
Washington,S 5126,Concerns the Washington Climate Commitment Act.,Energy,Energy,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Washington,S 5158,Concerns the utility wildland fire prevention advisory committee.,Energy,Energy,Disaster Mitigation-Wildfire
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Energy,Energy,Disaster Mitigation
California,S 129,Relates to the Budget Act of 2021.,Equity,Disability,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Disability,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Disability,"Disaster Mitigation, Wildlife-Pollinators"
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Equity,Disability,Disaster Mitigation
Maryland,H 1300,"Exempts the repair, renovation, reconstruction, or limited expansion of certain existing structures in the Beach Erosion Control District from a certain prohibition under certain circumstances and subject to certain requirements, repeals certain exemptions from a certain prohibition for the widening of the boardwalk in Ocean City and the construction of certain restroom facilities in the District, relates to the Beach Erosion Control District.",Equity,Disability,Climate Change - Adaptation and Environment
Maryland,S 64,"Exempts the repair, renovation, reconstruction, or expansion of certain existing structures in the Beach Erosion Control District from a certain prohibition under certain circumstances and subject to certain requirements, repeals certain exemptions from a certain prohibition for the widening of the boardwalk in Ocean City and the construction of certain restroom facilities in the District.",Equity,Disability,Climate Change - Adaptation and Environment
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Equity,Disability,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Equity,Disability,"Disaster Mitigation, Heat"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Equity,Minority,"Disaster Mitigation, Heat"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Equity,Elderly,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Equity,Disability,Disaster Mitigation-Flooding
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Equity,Disability,Disaster Mitigation
California,S 129,Relates to the Budget Act of 2021.,Equity,Elderly,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Elderly,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Elderly,"Disaster Mitigation, Wildlife-Pollinators"
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Equity,Elderly,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
California,S 129,Relates to the Budget Act of 2021.,Equity,Gender,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Gender,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Gender,"Disaster Mitigation, Wildlife-Pollinators"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Equity,Gender,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Equity,Gender,Disaster Mitigation-Flooding
California,S 129,Relates to the Budget Act of 2021.,Equity,LGBTQ+,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,LGBTQ+,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,LGBTQ+,"Disaster Mitigation, Wildlife-Pollinators"
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Equity,Low-Income,Disaster Mitigation-Wildfire
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Equity,Low-Income,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 129,Relates to the Budget Act of 2021.,Equity,Low-Income,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Low-Income,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Low-Income,"Disaster Mitigation, Wildlife-Pollinators"
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Equity,Low-Income,Disaster Mitigation
Louisiana,H 1052,"Establishes the Hazard Mitigation Revolving Loan Fund to provide assistance for projects that will reduce disaster risks for homeowners, businesses, nonprofit organizations, and communities in order to decrease the loss of life and property, the cost of insurance, and Federal disaster payments, or as otherwise required by federal law or grant agreements.",Equity,Low-Income,Disaster Mitigation
Massachusetts,H 4269,"Relates to immediate COVID 19 recovery needs, provides for the expenditure of certain federal funds, makes certain changes in law, each of which is immediately necessary to carry out those appropriations or to accomplish other important public purposes, declares emergency.",Equity,Low-Income,Disaster Mitigation
Massachusetts,S 9,Creates a next-generation roadmap for Massachusetts climate policy.,Equity,Low-Income,Disaster Mitigation
Maryland,H 1312,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances, relates to the Resilient Maryland Revolving Loan Fund.",Equity,Low-Income,Disaster Mitigation
Maryland,S 814,"Alters the Resilient Maryland Revolving Loan Fund to provide for loans to be made to private property owners, authorizes the Fund to include money from the Federal Emergency Management Agency, requires a portion of the Fund to be reserved used for a certain purpose under certain circumstances, authorizes loan forgiveness under certain circumstances.",Equity,Low-Income,Disaster Mitigation
Maine,H 1230,"Creates the Maine clean energy and sustainability accelerator, creates the Maine Clean Energy and Sustainability Accelerator to support the development of clean energy and sustainability projects and infrastructure through providing financing support, including loans, loan guarantees and other financial and risk mitigation products.",Equity,Low-Income,Disaster Mitigation
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Equity,Low-Income,Disaster Mitigation-Flooding
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Equity,Low-Income,Disaster Mitigation
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,S 1536,"Limits restrictions on portable cooling devices in residences by landlords, homeowners associations, condominium associations and local governments.",Equity,Low-Income,"Disaster Mitigation, Heat"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Equity,Low-Income,Disaster Mitigation-Flooding
Washington,H 1168,Concerns long-term forest health and the reduction of wildfire dangers.,Equity,Low-Income,Disaster Mitigation-Wildfire
Washington,S 5126,Concerns the Washington Climate Commitment Act.,Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Washington,S 5933,"Relates to establishing a School Seismic Safety Grant Program, relates to public school districts and state tribal education compact schools.",Equity,Low-Income,"Disaster Mitigation, Disaster Mitigation-Seismic"
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Equity,Low-Income,Disaster Mitigation
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Equity,Minority,Disaster Mitigation-Wildfire
California,A 642,"Requires the director to identify areas in the state as moderate and high fire hazard severity zones. Modifies the factors the director is required to use to classify areas into fire hazard severity zones. Requires a local agency, within a specified number of days of receiving a transmittal from the director that identifies fire hazard severity zones, to make the information available for public comment. Imposes a state mandated local program. Requires the appointment of a cultural burning liaison.",Equity,Minority,"Climate Change, Climate Change - Adaptation and Environment"
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Equity,Minority,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 1,"Includes, as part of the procedures the commission is required to adopt, recommendations and guidelines for the identification, assessment, minimization, and mitigation of sea level rise within each local coastal program, as provided. Deletes the timeframe specified above by which the commission is required to adopt these procedures. Requires the commission to take into account the effects of sea level rise in coastal resource planning and management policies and activities, as provided.",Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
California,S 129,Relates to the Budget Act of 2021.,Equity,Minority,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Minority,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Minority,"Disaster Mitigation, Wildlife-Pollinators"
Colorado,S 206,"Concerns resources for disaster preparedness and recovery, creates the Disaster Resilience Rebuilding Program, the Sustainable Rebuilding Program, and the Office of Climate Preparedness, appropriates funds.",Equity,Minority,Disaster Mitigation
Massachusetts,H 4269,"Relates to immediate COVID 19 recovery needs, provides for the expenditure of certain federal funds, makes certain changes in law, each of which is immediately necessary to carry out those appropriations or to accomplish other important public purposes, declares emergency.",Equity,Minority,Disaster Mitigation
Massachusetts,S 9,Creates a next-generation roadmap for Massachusetts climate policy.,Equity,Minority,Disaster Mitigation
Maine,H 1230,"Creates the Maine clean energy and sustainability accelerator, creates the Maine Clean Energy and Sustainability Accelerator to support the development of clean energy and sustainability projects and infrastructure through providing financing support, including loans, loan guarantees and other financial and risk mitigation products.",Equity,Minority,Disaster Mitigation
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
New Jersey,A 3,"Amends and supplements the Appropriations Act, extends dates for authorized appropriations, makes supplemental appropriations of specified amount in state and federal funds.",Equity,Minority,Disaster Mitigation-Flooding
New Jersey,S 2021,Appropriates a specified sum in state funds and in federal funds for the state budget for the current fiscal year.,Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Flooding"
New Jersey,S 2022,Appropriates funds for the state budget for fiscal year 2021 to 2022.,Equity,Minority,Disaster Mitigation
New York,S 2509,"Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2021 to 2022 state fiscal year, imposes a tax surcharge on wealthy taxpayers, relates to delaying tax reductions, imposes a pass through entity tax, relates to child care services expenditures under the excelsior jobs program and the employer provided child care credit.",Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Flooding"
Oregon,S 1533,"Relates to wildfire, makes federally recognized Indian tribes in the State eligible for certain grants and services relating to clean air shelters and smoke filtration systems, amends provisions relating to minimum defensible space requirements for wildfire risk reduction.",Equity,Minority,Disaster Mitigation-Wildfire
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Equity,Minority,Disaster Mitigation-Flooding
Washington,S 5101,Establishes tribal representation on the emergency management council.,Equity,Minority,Disaster Mitigation
Washington,S 5126,Concerns the Washington Climate Commitment Act.,Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Washington,S 5933,"Relates to establishing a School Seismic Safety Grant Program, relates to public school districts and state tribal education compact schools.",Equity,Minority,"Disaster Mitigation, Disaster Mitigation-Seismic"
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Equity,Minority,Disaster Mitigation
California,S 129,Relates to the Budget Act of 2021.,Equity,Rural,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Equity,Rural,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Equity,Rural,"Disaster Mitigation, Wildlife-Pollinators"
Maine,H 1465,Implements Agency Recommendations Relating to Sea Level Rise and Climate Resilience Provided.,Equity,Rural,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
North Carolina,S 105,"Makes base budget appropriations for current operations of state agencies, departments, and institutions.",Equity,Rural,"Disaster Mitigation, Disaster Mitigation-Flooding, Wildlife-Pollinators"
Pennsylvania,S 915,"Provides for the capital budget for fiscal year 2021-2022, itemizes public improvement projects, furniture and equipment projects, transportation assistance, redevelopment assistance projects, flood control projects and Pennsylvania Fish and Boat Commission projects leased or assisted by the Department of General Services and other State agencies, together with their estimated financial costs.",Equity,Rural,Disaster Mitigation-Flooding
Washington,H 1168,Concerns long-term forest health and the reduction of wildfire dangers.,Equity,Rural,Disaster Mitigation-Wildfire
Wisconsin,A 68,"Concerns state finances and appropriations, constitutes the executive budget act of the 2021 legislature.",Equity,Rural,Disaster Mitigation
Alaska,H 69,"Funding - State Program Funding, Funding - Federally-related Spending, Equity - Reimbursements Received, Funding - Insurance, Funding - Assistance to Private Sector and Nonprofits, Funding - Assistance to Governments, Funding - Assistance to Individuals and Households, F/W/N - Food, F/W/N - Nutrition, Energy, F/W/N - Water, Safety and Security, Land Use, Transportation, Equity - Rural, Equity - Minority, Equity - Disabilities, Hazardous Materials, Land Use",Food & Water,Food,Disaster Mitigation
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Food & Water,Food,Disaster Mitigation-Wildfire
California,A 73,Includes wildfire smoke events among health emergencies. Includes agricultural workers in the definition of essential workers. Requires the committee to include a representative of a labor organization representing agricultural workers and a representative of an organization that represents agricultural employers. Requires the department to report to the Legislature regarding the PPE stockpile within 6 months of the effective date of these provisions.,Food & Water,Food,Disaster Mitigation-Wildfire
California,S 129,Relates to the Budget Act of 2021.,Food & Water,Food,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Food & Water,Food,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Food & Water,Food,"Disaster Mitigation, Wildlife-Pollinators"
